  BTVA  [hex_]  3087738640 (bytes b8 0b 27 10 59 10 bd 10 67 11)
  BTVC  [ui8 ]  5 (bytes 05)
  BTVI  [ui8 ]  255 (bytes ff)
  BTVL  [ui32]  1729167360 (bytes 67 11 00 00)
  BUIC  [ui8 ]  100 (bytes 64)
  BUPT  [hex_]  1418074368 (bytes 54 86 19 00 00 00 00 00)
  BVCA  [hex_]  1677760000 (bytes 64 00 96 00 c8 00 fa 00 40 06 ff ff)
  BVHA  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  BVVA  [hex_]  1729191185 (bytes 67 11 5d 11 49 11 35 11 2b 11 f9 10)
  BVVI  [ui8 ]  2 (bytes 02)
  BVVL  [ui16]  18705 (bytes 49 11)
  BVVM  [ui16]  18705 (bytes 49 11)
  BVVN  [ui16]  18705 (bytes 49 11)
  BVVO  [ui16]  26385 (bytes 67 11)
  BVVP  [ui16]  18705 (bytes 49 11)
  BVVQ  [ui16]  26385 (bytes 67 11)
  BVVR  [ui16]  18705 (bytes 49 11)
  BfDC  [ui32]  550174720 (bytes 20 cb 00 00)
  BfRM  [ui32]  550174720 (bytes 20 cb 00 00)
  BfSC  [ui8 ]  100 (bytes 64)
  BnDC  [ui32]  550174720 (bytes 20 cb 00 00)
  Bvt0  [ui8 ]  1 (bytes 01)
  Bvt1  [ui32]  221511680 (bytes 0d 34 00 00)
  Bvt2  [flt ]  0.84937817 (bytes d9 70 59 3f)
  Bvt3  [flt ]  0.8146269 (bytes 63 8b 50 3f)
  Bvt4  [flt ]  -0.20541859 (bytes 40 59 52 be)
  Bvt5  [flt ]  0 (bytes 00 00 00 00)
  Bvt6  [flt ]  0 (bytes 00 00 00 00)
  Bvt7  [flt ]  4.455 (bytes 5c 8f 8e 40)
  Bvt8  [flt ]  4.455 (bytes 5c 8f 8e 40)
  Bvt9  [ui8 ]  0 (bytes 00)
  Bvta  [hex_]  0 (bytes 00 00 00 00 3f 0c 00 00 2f 01 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  Bvtb  [ui32]  184549376 (bytes 0b 00 00 00)
