  CHTC  [ui32]  0 (bytes 00 00 00 00)
  CHTE  [ui32]  0 (bytes 00 00 00 00)
  CHTL  [ui32]  269352960 (bytes 10 0e 00 00)
  CHTM  [ui32]  0 (bytes 00 00 00 00)
  CHTU  [ui32]  68157440 (bytes 04 10 00 00)
  CLBT  [ui64]  (bytes bf 2e 01 f5 dc 59 00 00)
  CLKM  [hex_]  2230796806 (bytes 84 f7 42 06 46 03)
  CLKU  [ui64]  (bytes 69 ab 16 7a e6 63 00 00)
  CLSD  [ui64]  (bytes d9 7d 61 f5 dc 59 00 00)
  CLSP  [ui64]  (bytes 75 13 26 8c e4 63 00 00)
  CLWK  [ui64]  (bytes 6e d2 26 8c e4 63 00 00)
  CMCR  [hex_]  3305111552 (bytes c5 00 00 00 70 00 00 00 61 00 00 00 60 00 00 00)
  CMR0  [si32]  -989855744 (bytes c5 00 00 00)
  CMR1  [si32]  1879048192 (bytes 70 00 00 00)
  CMR2  [si32]  1627389952 (bytes 61 00 00 00)
  CMR3  [si32]  1610612736 (bytes 60 00 00 00)
  D1Ac  [hex_]  0 (bytes 00 00 00 00)
  D1Au  [ui8 ]  0 (bytes 00)
  D1BD  [ui32]  0 (bytes 00 00 00 00)
  D1BI  [ui16]  0 (bytes 00 00)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
  D1CF  [ui16]  0 (bytes 00 00)
  D1CR  [ui16]  0 (bytes 00 00)
  D1CS  [ui8 ]  0 (bytes 00)
  D1CT  [ui8 ]  0 (bytes 00)
  D1CU  [ui8 ]  0 (bytes 00)
  D1CX  [ui8 ]  0 (bytes 00)
  D1CY  [ui8 ]  0 (bytes 00)
  D1CZ  [ui8 ]  0 (bytes 00)
  D1Cb  [ui8 ]  0 (bytes 00)
  D1Cc  [ui16]  0 (bytes 00 00)
  D1Cf  [ui16]  0 (bytes 00 00)
  D1Ci  [ui16]  0 (bytes 00 00)
  D1Cm  [ui16]  0 (bytes 00 00)
  D1Cn  [ui16]  0 (bytes 00 00)
  D1Cr  [ui16]  0 (bytes 00 00)
  D1Cs  [ui16]  0 (bytes 00 00)
  D1Ct  [ui16]  0 (bytes 00 00)
  D1Cv  [ui16]  0 (bytes 00 00)
  D1Cw  [ui16]  0 (bytes 00 00)
  D1DA  [hex_]  368 (bytes 01 70)
  D1DE  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1DI  [ui8 ]  2 (bytes 02)
  D1DP  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  D1DR  [flag]  true (bytes 01)
  D1Dp  [flag]  false (bytes 00)
  D1EC  [ui8 ]  0 (bytes 00)
  D1EF  [hex_]  0 (bytes 00 00 00 00)
  D1Ep  [flag]  false (bytes 00)
  D1FC  [ui32]  0 (bytes 00 00 00 00)
  D1FS  [hex_]  0 (bytes 00)
  D1FV  [hex_]  3155712 (bytes 00 30 27 00)
  D1IC  [ui16]  65535 (bytes ff ff)
  D1IR  [ui16]  0 (bytes 00 00)
  D1JA  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JB  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 4c 1d 4c 1d 00 00 00 00 4c 1d 00 00 00)
  D1JE  [ui32]  0 (bytes 00 00 00 00)
