  D1EC  [ui8 ]  0 (bytes 00)
  D1EF  [hex_]  0 (bytes 00 00 00 00)
  D1Ep  [flag]  false (bytes 00)
  D1FC  [ui32]  0 (bytes 00 00 00 00)
  D1FS  [hex_]  0 (bytes 00)
  D1FV  [hex_]  3178752 (bytes 00 30 81 00)
  D1IC  [ui16]  65535 (bytes ff ff)
  D1IR  [ui16]  0 (bytes 00 00)
  D1JA  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JB  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 4c 1d 4c 1d 00 00 00 00 4c 1d 00 00 00)
  D1JE  [ui32]  0 (bytes 00 00 00 00)
  D1JF  [ui32]  0 (bytes 00 00 00 00)
  D1JG  [ui32]  0 (bytes 00 00 00 00)
  D1JI  [flt ]  0 (bytes 00 00 00 00)
  D1JM  [ui16]  38970 (bytes 98 3a)
  D1JN  [ui16]  19485 (bytes 4c 1d)
  D1JP  [ui8 ]  0 (bytes 00)
  D1JQ  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1JR  [si32]  1276968960 (bytes 4c 1d 00 00)
  D1JS  [si32]  1276968960 (bytes 4c 1d 00 00)
  D1JV  [flt ]  0 (bytes 00 00 00 00)
  D1LC  [ui8 ]  0 (bytes 00)
  D1LI  [ui8 ]  0 (bytes 00)
  D1LR  [ui8 ]  1 (bytes 01)
  D1MI  [ui16]  0 (bytes 00 00)
  D1MP  [ui32]  0 (bytes 00 00 00 00)
  D1MV  [ui16]  0 (bytes 00 00)
  D1PI  [si8 ]  0 (bytes 00)
  D1PM  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1PR  [ui8 ]  0 (bytes 00)
  D1PS  [ui8 ]  255 (bytes ff)
  D1PT  [ui8 ]  0 (bytes 00)
  D1Pd  [hex_]  0 (bytes 00 00)
  D1Pe  [hex_]  0 (bytes 00 00)
  D1Pi  [ui16]  0 (bytes 00 00)
  D1Ps  [ui8 ]  255 (bytes ff)
  D1Pt  [ui8 ]  0 (bytes 00)
  D1Rc  [ui16]  0 (bytes 00 00)
  D1Rp  [ui16]  0 (bytes 00 00)
  D1ST  [ui8 ]  0 (bytes 00)
  D1SW  [ui8 ]  100 (bytes 64)
  D1St  [hex_]  0 (bytes 00 00)
  D1UI  [hex_]  2480234258 (bytes 93 d5 5f 12 6c 46 de 3f 7a aa c0 7e ca 3a 8d 3c)
  D1VC  [ui16]  0 (bytes 00 00)
  D1VD  [flt ]  0 (bytes 00 00 00 00)
  D1VM  [ui16]  0 (bytes 00 00)
  D1VR  [ui16]  0 (bytes 00 00)
  D1VX  [ui16]  0 (bytes 00 00)
  D1Vb  [ui8 ]  0 (bytes 00)
  D1Vd  [hex_]  0 (bytes 00 00)
  D1Ve  [hex_]  0 (bytes 00 00)
  D1Vm  [ui8 ]  0 (bytes 00)
  D1Vn  [ui8 ]  0 (bytes 00)
